metric_id,geography_level,geography_code,year,religion,value,denominator,sample_size,ci_lower,ci_upper,source_id,source_document,extraction_run,methodology_note,break_flag
wealth-top-quintile,national,IN,2005,all,20.0,de_jure_population,,,,nfhs-3,sources/nfhs-3/reports/india-report-frind3.pdf,manual-extract-wealth-top-quintile-v1.0-20260607,By construction 20% of India's de jure population falls in each wealth quintile (NFHS-3 (2005-06) Table 2.18 Total row). National reference line.,false
wealth-top-quintile,national,IN,2005,buddhist,22.3,de_jure_population,4342,,,nfhs-3,sources/nfhs-3/reports/india-report-frind3.pdf,manual-extract-wealth-top-quintile-v1.0-20260607,"NFHS-3 (2005-06) Table 2.18 'Religion and caste/tribe of household head by wealth quintiles', India; HIGHEST (richest) of 5 national wealth quintiles. NFHS asset-based wealth index (durables, housing, drinking water, sanitation).",false
wealth-top-quintile,national,IN,2005,christian,31.1,de_jure_population,11885,,,nfhs-3,sources/nfhs-3/reports/india-report-frind3.pdf,manual-extract-wealth-top-quintile-v1.0-20260607,"NFHS-3 (2005-06) Table 2.18 'Religion and caste/tribe of household head by wealth quintiles', India; HIGHEST (richest) of 5 national wealth quintiles. NFHS asset-based wealth index (durables, housing, drinking water, sanitation).",false
wealth-top-quintile,national,IN,2005,hindu,19.2,de_jure_population,418056,,,nfhs-3,sources/nfhs-3/reports/india-report-frind3.pdf,manual-extract-wealth-top-quintile-v1.0-20260607,"NFHS-3 (2005-06) Table 2.18 'Religion and caste/tribe of household head by wealth quintiles', India; HIGHEST (richest) of 5 national wealth quintiles. NFHS asset-based wealth index (durables, housing, drinking water, sanitation).",false
wealth-top-quintile,national,IN,2005,jain,86.8,de_jure_population,1784,,,nfhs-3,sources/nfhs-3/reports/india-report-frind3.pdf,manual-extract-wealth-top-quintile-v1.0-20260607,"NFHS-3 (2005-06) Table 2.18 'Religion and caste/tribe of household head by wealth quintiles', India; HIGHEST (richest) of 5 national wealth quintiles. NFHS asset-based wealth index (durables, housing, drinking water, sanitation).",false
wealth-top-quintile,national,IN,2005,muslim,17.2,de_jure_population,74718,,,nfhs-3,sources/nfhs-3/reports/india-report-frind3.pdf,manual-extract-wealth-top-quintile-v1.0-20260607,"NFHS-3 (2005-06) Table 2.18 'Religion and caste/tribe of household head by wealth quintiles', India; HIGHEST (richest) of 5 national wealth quintiles. NFHS asset-based wealth index (durables, housing, drinking water, sanitation).",false
wealth-top-quintile,national,IN,2005,sikh,52.7,de_jure_population,8988,,,nfhs-3,sources/nfhs-3/reports/india-report-frind3.pdf,manual-extract-wealth-top-quintile-v1.0-20260607,"NFHS-3 (2005-06) Table 2.18 'Religion and caste/tribe of household head by wealth quintiles', India; HIGHEST (richest) of 5 national wealth quintiles. NFHS asset-based wealth index (durables, housing, drinking water, sanitation).",false
wealth-top-quintile,national,IN,2015,all,20.0,de_jure_population,,,,nfhs-4,sources/nfhs-4/reports/india-report-fr339.pdf,manual-extract-wealth-top-quintile-v1.0-20260607,By construction 20% of India's de jure population falls in each wealth quintile (NFHS-4 (2015-16) Table 2.6 Total row). National reference line.,false
wealth-top-quintile,national,IN,2015,buddhist,20.6,de_jure_population,24734,,,nfhs-4,sources/nfhs-4/reports/india-report-fr339.pdf,manual-extract-wealth-top-quintile-v1.0-20260607,"NFHS-4 (2015-16) Table 2.6 'Religion and caste/tribe of household head by wealth quintiles', India; HIGHEST (richest) of 5 national wealth quintiles. NFHS asset-based wealth index (durables, housing, drinking water, sanitation).",false
wealth-top-quintile,national,IN,2015,christian,28.1,de_jure_population,64722,,,nfhs-4,sources/nfhs-4/reports/india-report-fr339.pdf,manual-extract-wealth-top-quintile-v1.0-20260607,"NFHS-4 (2015-16) Table 2.6 'Religion and caste/tribe of household head by wealth quintiles', India; HIGHEST (richest) of 5 national wealth quintiles. NFHS asset-based wealth index (durables, housing, drinking water, sanitation).",false
wealth-top-quintile,national,IN,2015,hindu,19.1,de_jure_population,2203861,,,nfhs-4,sources/nfhs-4/reports/india-report-fr339.pdf,manual-extract-wealth-top-quintile-v1.0-20260607,"NFHS-4 (2015-16) Table 2.6 'Religion and caste/tribe of household head by wealth quintiles', India; HIGHEST (richest) of 5 national wealth quintiles. NFHS asset-based wealth index (durables, housing, drinking water, sanitation).",false
wealth-top-quintile,national,IN,2015,jain,74.9,de_jure_population,5448,,,nfhs-4,sources/nfhs-4/reports/india-report-fr339.pdf,manual-extract-wealth-top-quintile-v1.0-20260607,"NFHS-4 (2015-16) Table 2.6 'Religion and caste/tribe of household head by wealth quintiles', India; HIGHEST (richest) of 5 national wealth quintiles. NFHS asset-based wealth index (durables, housing, drinking water, sanitation).",false
wealth-top-quintile,national,IN,2015,muslim,18.8,de_jure_population,388606,,,nfhs-4,sources/nfhs-4/reports/india-report-fr339.pdf,manual-extract-wealth-top-quintile-v1.0-20260607,"NFHS-4 (2015-16) Table 2.6 'Religion and caste/tribe of household head by wealth quintiles', India; HIGHEST (richest) of 5 national wealth quintiles. NFHS asset-based wealth index (durables, housing, drinking water, sanitation).",false
wealth-top-quintile,national,IN,2015,sikh,60.2,de_jure_population,46401,,,nfhs-4,sources/nfhs-4/reports/india-report-fr339.pdf,manual-extract-wealth-top-quintile-v1.0-20260607,"NFHS-4 (2015-16) Table 2.6 'Religion and caste/tribe of household head by wealth quintiles', India; HIGHEST (richest) of 5 national wealth quintiles. NFHS asset-based wealth index (durables, housing, drinking water, sanitation).",false
wealth-top-quintile,national,IN,2020,all,20.0,de_jure_population,,,,nfhs-5,sources/nfhs-5/reports/india-report-fr375.pdf,manual-extract-wealth-top-quintile-v1.0-20260607,By construction 20% of India's de jure population falls in each wealth quintile (NFHS-5 (2019-21) Table 2.9 Total row). National reference line.,false
wealth-top-quintile,national,IN,2020,buddhist,17.8,de_jure_population,18356,,,nfhs-5,sources/nfhs-5/reports/india-report-fr375.pdf,manual-extract-wealth-top-quintile-v1.0-20260607,"NFHS-5 (2019-21) Table 2.9 'Religion and caste/tribe of household head by wealth quintiles', India; HIGHEST (richest) of 5 national wealth quintiles. NFHS asset-based wealth index (durables, housing, drinking water, sanitation).",false
wealth-top-quintile,national,IN,2020,christian,25.6,de_jure_population,67300,,,nfhs-5,sources/nfhs-5/reports/india-report-fr375.pdf,manual-extract-wealth-top-quintile-v1.0-20260607,"NFHS-5 (2019-21) Table 2.9 'Religion and caste/tribe of household head by wealth quintiles', India; HIGHEST (richest) of 5 national wealth quintiles. NFHS asset-based wealth index (durables, housing, drinking water, sanitation).",false
wealth-top-quintile,national,IN,2020,hindu,19.1,de_jure_population,2251319,,,nfhs-5,sources/nfhs-5/reports/india-report-fr375.pdf,manual-extract-wealth-top-quintile-v1.0-20260607,"NFHS-5 (2019-21) Table 2.9 'Religion and caste/tribe of household head by wealth quintiles', India; HIGHEST (richest) of 5 national wealth quintiles. NFHS asset-based wealth index (durables, housing, drinking water, sanitation).",false
wealth-top-quintile,national,IN,2020,jain,80.1,de_jure_population,7048,,,nfhs-5,sources/nfhs-5/reports/india-report-fr375.pdf,manual-extract-wealth-top-quintile-v1.0-20260607,"NFHS-5 (2019-21) Table 2.9 'Religion and caste/tribe of household head by wealth quintiles', India; HIGHEST (richest) of 5 national wealth quintiles. NFHS asset-based wealth index (durables, housing, drinking water, sanitation).",false
wealth-top-quintile,national,IN,2020,muslim,19.3,de_jure_population,380983,,,nfhs-5,sources/nfhs-5/reports/india-report-fr375.pdf,manual-extract-wealth-top-quintile-v1.0-20260607,"NFHS-5 (2019-21) Table 2.9 'Religion and caste/tribe of household head by wealth quintiles', India; HIGHEST (richest) of 5 national wealth quintiles. NFHS asset-based wealth index (durables, housing, drinking water, sanitation).",false
wealth-top-quintile,national,IN,2020,sikh,59.1,de_jure_population,45088,,,nfhs-5,sources/nfhs-5/reports/india-report-fr375.pdf,manual-extract-wealth-top-quintile-v1.0-20260607,"NFHS-5 (2019-21) Table 2.9 'Religion and caste/tribe of household head by wealth quintiles', India; HIGHEST (richest) of 5 national wealth quintiles. NFHS asset-based wealth index (durables, housing, drinking water, sanitation).",false
